question,answer
What is the price of this T-shirt?,$56 
What are your opening hours?,We are open from 9 AM to 9 PM.
Where is your store located?,We are located in PCSIR Phase 2.
Do you have return policy?,"Yes, you can return items within 30 days with receipt."
How can I track my order?,You can track your order using the tracking number sent to your email.
Is this available in other sizes?,"Yes, we have Small, Medium, Large, and XL available."
Do you offer cash on delivery?,"Yes, cash on delivery is available for all local orders."
How long does shipping take?,Standard delivery takes 3 to 5 business days.
Can I cancel my order?,"No, you can't! chutti kro"
Do you have any discount or offers?,Yes! We currently offer 15% off on all items using code SAVE15.
